,train_depth,train_true,train_pre,train_depth,test_true,test_pre
420,1173.476,21.6,5.679934,540.927,57.03,5.280689
421,1172.576,22.55,5.6319475,539.027,45.96,5.428685
422,1171.651,21.59,5.287253,537.227,39.31,5.5345445
423,1170.701,19.34,5.3601,535.452,9.57,5.5956326
424,1169.801,19.56,5.3627114,534.077,40.37,5.487513
425,1168.976,19.56,5.357821,532.252,48.26,5.288032
426,1168.001,20.5,5.2859373,530.552,50.78,5.1973615
427,1167.126,21.21,5.2635355,528.077,50.58,5.2027354
428,1165.226,16.53,5.4279695,526.127,48.48,5.2239113
429,1164.026,23.08,5.2522016,523.927,56.7,5.2020445
430,1162.676,48.74,5.2575006,521.627,51.61,5.2626815
431,1161.351,46.08,5.2958584,519.227,43.95,5.391145
432,1160.251,47.64,5.2703185,515.027,9.48,5.6450086
433,1159.051,47.09,5.2961125,512.502,58.29,5.187158
434,1157.926,48.89,5.273101,510.227,58.26,5.1718946
435,1156.701,45.61,5.3191433,507.827,54.55,5.215177
436,1155.476,48.92,5.2845936,504.752,63.95,5.1286817
437,1154.376,39.15,5.432685,502.677,60.99,5.2003093
438,1153.301,36.51,5.4748387,499.102,64.68,5.1722913
439,1152.101,34.02,5.5258284,496.927,52.7,5.316159
440,1151.001,35.22,5.5144525,495.427,52.86,5.300381
441,1150.076,34.45,5.5198994,493.602,51.5,5.316613
442,1148.826,32.95,5.3387294,491.927,58.49,5.25621
443,1147.701,39.89,5.2476883,489.502,59.68,5.210083
444,1146.451,37.74,5.2992296,487.202,61.0,5.22022
445,1145.376,36.79,5.307002,484.852,65.69,5.167863
446,1144.151,31.68,5.4424186,482.502,68.76,5.1610827
447,1143.076,33.55,5.3935347,479.677,68.76,5.1793175
448,1141.976,37.91,5.2816215,477.527,70.83,5.18783
449,1140.676,37.8,5.283313,474.777,65.56,5.177245
450,1139.476,34.74,5.338296,472.502,66.89,5.166679
451,1138.176,13.14,5.8286495,470.202,61.96,5.2268386
452,1137.201,45.54,5.2482915,467.802,59.69,5.2565837
453,1135.926,28.19,5.5914116,465.252,66.82,5.15906
454,1134.751,26.86,5.628299,462.227,73.42,5.201277
455,1133.826,26.08,5.650335,459.177,66.92,5.273682
